Date,Reviewed,Payee,Business/Personal,Category,Exclusion,Amount
"Jun 22, 2026",no,Fabled Bookshop And Caf Waco Tx 06/20,Personal,Shopping:Books,no, -32.48
"Jun 1, 2026",no,Books-a-million,Personal,Shopping:Books,no, -98.49
"Aug 17, 2026",no,Kinokuniya Bookstores O Carrollton Tx 08/15,Personal,Shopping:Books,no, -41.08
"Aug 3, 2026",no,Kinokuniya Bookstores O Carrollton Tx 08/02,Personal,Shopping:Books,no, -60.02
"Jul 27, 2026",no,Halfpricebooks-046 Irving Tx 07/26,Personal,Shopping:Books,no, -3.24
"Jun 29, 2026",no,Valley Ranch Islamic Center,Personal,Charity & Donations,no, -20.76
"Jun 15, 2026",no,Valley Ranch Islamic Center,Personal,Charity & Donations,no, -10.00
"Aug 10, 2026",no,Valley Ranch Islamic Center,Personal,Charity & Donations,no, -10.00
"Aug 3, 2026",no,Valley Ranch Islamic Center,Personal,Charity & Donations,no, -10.00
"Aug 17, 2026",no,Valley Ranch Islamic Center,Personal,Charity & Donations,no, -10.00
"Jul 20, 2026",no,Valley Ranch Islamic Center,Personal,Charity & Donations,no, -10.00
"Jul 13, 2026",no,Valley Ranch Islamic Center,Personal,Charity & Donations,no, -20.00
"Jul 27, 2026",no,Valley Ranch Islamic Center,Personal,Charity & Donations,no, -10.00
"Jul 8, 2026",no,Nehemiah,Personal,Charity & Donations,no, -8.04
"Jun 1, 2026",no,Remote Online Deposit # 1 1,Personal,Chase - Total Checking ,yes, 150.00
"Jun 2, 2026",no,Online Transfer To Chk ...2831 Transaction#: 06/02,Personal,Chase - Total Checking ,yes, -2400.00
"May 28, 2026",no,Deposit Id Number Xx8788,Personal,Chase - Total Checking ,yes, 200.00
"Jun 1, 2026",no,Target,Personal,Chase Freedom - Credit Card,yes, -12.96
"Jul 2, 2026",no,Zelle Payment From Angelina N Martinez,Personal,Chase Freedom - Credit Card,yes, 25.00
"May 21, 2026",no,Online Transfer From Chk ...2831 Transaction#:,Personal,Chase Freedom - Credit Card,yes, 50.00
"Jun 1, 2026",no,Primark Grapevine 092 Grapevine Tx 05/31,Personal,Shopping:Clothing,no, -19.49
"Jun 17, 2026",no,Cuppa Irving Tx 06/16,Personal,Dining & Drinks:Coffee Shops,no, -8.04
"Jun 22, 2026",no,Cuppa Irving Tx 06/19,Personal,Dining & Drinks:Coffee Shops,no, -4.75
"Jun 25, 2026",no,Arwa Coffee Llc Irving Tx 06/24,Personal,Dining & Drinks:Coffee Shops,no, -8.58
"Jun 26, 2026",no,Cuppa Irving Tx 06/26,Personal,Dining & Drinks:Coffee Shops,no, -4.75
"Jun 12, 2026",no,Cuppa Irving Tx 06/12,Personal,Dining & Drinks:Coffee Shops,no, -4.75
"Jun 15, 2026",no,Braum's,Personal,Dining & Drinks:Coffee Shops,no, -4.32
"Jun 5, 2026",no,Cuppa Irving Tx 06/05,Personal,Dining & Drinks:Coffee Shops,no, -4.75
"Jun 4, 2026",no,Gas Coffee Co. Coppell Tx 06/04,Personal,Dining & Drinks:Coffee Shops,no, -8.36
"Aug 6, 2026",no,Earth Coffee Xxx-xxxx3699 Tx 08/05,Personal,Dining & Drinks:Coffee Shops,no, -6.06
"Aug 10, 2026",no,Kotara Koncepts Llc Irving Tx 08/08,Personal,Dining & Drinks:Coffee Shops,no, -15.00
"Aug 3, 2026",no,Cuppa Irving Tx 07/31,Personal,Dining & Drinks:Coffee Shops,no, -4.75
"Aug 17, 2026",no,Nur Coffee Carrollton Tx 08/15,Personal,Dining & Drinks:Coffee Shops,no, -10.74
"Aug 12, 2026",no,Tst* Coffee Cove Irving Tx 08/12,Personal,Dining & Drinks:Coffee Shops,no, -8.62
"Aug 17, 2026",no,Cuppa Irving Tx 08/14,Personal,Dining & Drinks:Coffee Shops,no, -4.75
"Aug 10, 2026",no,Tst* Coffee Cove Irving Tx 08/08,Personal,Dining & Drinks:Coffee Shops,no, -14.38
"Jul 13, 2026",no,Peregrine Coffee Ro Richardson Tx 07/12,Personal,Dining & Drinks:Coffee Shops,no, -8.12
"Jul 20, 2026",no,Cuppa Irving Tx 07/17,Personal,Dining & Drinks:Coffee Shops,no, -8.50
"Jul 10, 2026",no,Gas Coffee Co. Coppell Tx 07/09,Personal,Dining & Drinks:Coffee Shops,no, -6.93
"Jul 27, 2026",no,Cuppa Irving Tx 07/24,Personal,Dining & Drinks:Coffee Shops,no, -4.75
"Jul 13, 2026",no,Cuppa Irving Tx 07/10,Personal,Dining & Drinks:Coffee Shops,no, -4.75
"May 29, 2026",no,Cuppa Irving Tx 05/29,Personal,Dining & Drinks:Coffee Shops,no, -4.75
"Jun 8, 2026",no,Creamistry,Personal,Dining & Drinks,no, -19.60
"Aug 11, 2026",no,Frank,Personal,Dining & Drinks,no, -2.15
"Aug 3, 2026",no,Somisomi,Personal,Dining & Drinks,no, -8.52
"Aug 10, 2026",no,Coffee House,Personal,Dining & Drinks,no, -7.34
"Jul 27, 2026",no,Wayback Burgers,Personal,Dining & Drinks,no, -22.27
"Jul 31, 2026",no,Somisomi,Personal,Dining & Drinks,no, -11.23
"Jul 14, 2026",no,Frank,Personal,Dining & Drinks,no, -2.15
"May 29, 2026",no,Frank,Personal,Dining & Drinks,no, -2.15
"Aug 4, 2026",no,Youtube G.co/helppay# Ca 08/04,Personal,Entertainment,no, -4.32
"Aug 18, 2026",no,Fixr.co* Ticket 6716f9 London 08/17 Pound Sterl36.83 X 1.xx6503,Personal,Entertainment,no, -49.96
"Jun 24, 2026",no,Merit Coffee,Personal,Dining & Drinks:Fast Food,no, -8.04
"Jun 15, 2026",no,Proton,Personal,Dining & Drinks:Fast Food,no, -1.07
"Jun 8, 2026",no,Solutions,Personal,Dining & Drinks:Fast Food,no, -10.00
"Aug 17, 2026",no,Kilwins,Personal,Dining & Drinks:Fast Food,no, -7.80
"Aug 3, 2026",no,Hemingway,Personal,Dining & Drinks:Fast Food,no, -64.40
"Jul 31, 2026",no,Restaurant Depot,Personal,Dining & Drinks:Fast Food,no, -109.53
"Jul 27, 2026",no,Talking,Personal,Dining & Drinks:Fast Food,no, -6.76
"Aug 18, 2026",no,American,Personal,Dining & Drinks:Fast Food,no, -1.60
